Year,Degree,Experience,Billing
2021,Bachelor,18,45050000
2021,Bachelor,19,46600000
2021,Bachelor,20,48150000
2021,Bachelor,21,49700000
2021,Bachelor,22,51250000
2021,Bachelor,23,52750000
2021,Bachelor,24,54300000
2021,Bachelor,25,55850000
2021,Bachelor,26,57400000
2021,Bachelor,27,58950000
2021,Master,1,26600000
2021,Master,2,28500000
2021,Master,3,30400000
2021,Master,4,32300000
2021,Master,5,34200000
2021,Master,6,36100000
2021,Master,7,38000000
2021,Master,8,39900000
2021,Master,9,41800000
2021,Master,10,43650000
2021,Master,11,45550000
2021,Master,12,47450000
2021,Master,13,49350000
2021,Master,14,51250000
2021,Master,15,53150000
2021,Master,16,55050000
2021,Master,17,56950000
2021,Master,18,58850000
2021,Master,19,60750000
2021,Master,20,62650000
2021,Master,21,64550000
2021,Master,22,66450000
2021,Master,23,68300000
2021,Master,24,70200000
2021,Master,25,72100000
2021,Master,26,74000000
2021,Master,27,75900000
2021,Doctorate,1,34500000
2021,Doctorate,2,36500000
2021,Doctorate,3,38500000
2021,Doctorate,4,40450000
2021,Doctorate,5,42450000
2021,Doctorate,6,44450000
2021,Doctorate,7,46450000
2021,Doctorate,8,48450000
2021,Doctorate,9,50450000
2021,Doctorate,10,52450000
2021,Doctorate,11,54450000
2021,Doctorate,12,56450000
2021,Doctorate,13,58450000
2021,Doctorate,14,60450000
2021,Doctorate,15,62450000
2021,Doctorate,16,64400000
2021,Doctorate,17,66400000
2021,Doctorate,18,68400000
2021,Doctorate,19,70400000
2021,Doctorate,20,72400000
2021,Doctorate,21,74400000
2021,Doctorate,22,76400000
2021,Doctorate,23,78400000
2021,Doctorate,24,80400000
2021,Doctorate,25,82400000
2021,Doctorate,26,84400000
2021,Doctorate,27,86400000
2023,Bachelor,3,24550000
2023,Bachelor,4,26100000
2023,Bachelor,5,27650000
2023,Bachelor,6,29150000
2023,Bachelor,7,30700000
2023,Bachelor,8,32250000
2023,Bachelor,9,33800000
2023,Bachelor,10,35350000
2023,Bachelor,11,36850000
2023,Bachelor,12,38400000
2023,Bachelor,13,39950000
2023,Bachelor,14,41500000
2023,Bachelor,15,43050000
2023,Bachelor,16,44550000
2023,Bachelor,17,46100000
2023,Bachelor,18,47650000
2023,Bachelor,19,49200000
2023,Bachelor,20,50750000
2023,Bachelor,21,52300000
2023,Bachelor,22,53800000
2023,Bachelor,23,55350000
2023,Bachelor,24,56900000
2023,Bachelor,25,58450000
2023,Bachelor,26,60000000
2023,Bachelor,27,61500000
2023,Master,1,28550000
2023,Master,2,30450000
2023,Master,3,32350000
2023,Master,4,34250000
2023,Master,5,36100000
2023,Master,6,38000000
2023,Master,7,39900000
2023,Master,8,41800000
2023,Master,9,43700000
2023,Master,10,45600000
2023,Master,11,47500000
2023,Master,12,49400000
2023,Master,13,51300000
2023,Master,14,53200000
2023,Master,15,55100000
2023,Master,16,57000000
2023,Master,17,58850000
2023,Master,18,60750000
2023,Master,19,62650000
2023,Master,20,64550000
2023,Master,21,66450000
2023,Master,22,68350000
2023,Master,23,70250000
2023,Master,24,72150000
2023,Master,25,74050000
2023,Master,26,75950000
2023,Master,27,77850000
2023,Doctorate,1,37300000
2023,Doctorate,2,39300000
2023,Doctorate,3,41300000
2023,Doctorate,4,43300000
2023,Doctorate,5,45300000
2023,Doctorate,6,47300000
2023,Doctorate,7,49300000
2023,Doctorate,8,51300000
2023,Doctorate,9,53300000
2023,Doctorate,10,55300000
2023,Doctorate,11,57300000
2023,Doctorate,12,59300000
2023,Doctorate,13,61250000
2023,Doctorate,14,63250000
2023,Doctorate,15,65250000
2023,Doctorate,16,67250000
2023,Doctorate,17,69250000
2023,Doctorate,18,71250000
2023,Doctorate,19,73250000
2023,Doctorate,20,75250000
2023,Doctorate,21,77250000
2023,Doctorate,22,79250000
2023,Doctorate,23,81250000
2023,Doctorate,24,83200000
2023,Doctorate,25,85200000
2023,Doctorate,26,87200000
2023,Doctorate,27,89200000
